M-One,M-Two,M-Three,M-Four,Units,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,"Meat pies, ready to eat",,,g,282,276,287,315,316,325,320,350,462,510,688,735,825,917,992,1085,1295,1347,1388,1427,1392,1448,1422,1439,1484,1424,1435,1439,1499,1552,1532,1552,1537,1583,1545,1549,1604,1562,1586,1515,1490,1512,291,272
,"Sausage rolls, ready to eat",,,g,5,6,6,6,6,6,5,6,6,6,4,5,6,5,4,5,6,5,5,5,7,7,9,8,9,7,9,10,10,12,11,11,12,12,12,11,12,12,11,9,10,11,11,10
"Meat pies, pasties and puddings, frozen or not frozen",,,,g,2266,2445,2618,2575,2562,2602,2552,2517,2480,2547,2595,2533,2502,2472,2408,2368,2352,2317,2245,2227,2297,2235,2172,2137,2149,2006,1973,1943,1927,1998,1952,1921,1894,1864,1849,1836,1810,1783,1751,1778,1791,1756,2578,2508
"Burgers, frozen or not frozen",,,,g,1107,1256,1371,1372,1313,1358,1339,1309,1293,1340,1290,1279,1240,1217,1199,1164,1147,1137,1084,1077,1111,1042,1012,972,1002,912,873,864,822,842,810,781,776,761,742,746,724,682,671,675,675,641,1437,1378
Ready meals and convenience meat products,,,,g,1003,1167,1257,1249,1176,1200,1172,1146,1140,1175,1112,1083,1044,1021,1008,969,911,884,820,810,826,764,731,693,727,647,617,600,570,587,565,537,535,514,501,496,478,439,431,429,428,401,1318,1257
,"Complete meat-based ready meals, frozen or not frozen",,,g,5,5,6,8,9,10,10,11,13,14,16,16,17,19,18,21,21,22,23,26,27,29,40,46,50,52,63,88,97,98,98,94,89,89,83,86,90,87,91,86,85,81,85,79
,"Other convenience meat products, frozen or not frozen",,,g,22,23,24,39,42,42,43,41,46,49,49,52,56,58,58,59,58,65,65,71,77,78,68,71,71,78,87,57,61,56,57,58,57,59,63,66,72,70,73,78,78,83,83,91
Pate and delicatessen type sausage,,,,g,3308,3246,3027,3170,3367,3372,3419,3455,3377,3392,3332,3372,3536,3485,3477,3461,3370,3393,3352,3326,3284,3296,3385,3367,3328,3268,3338,3163,3180,3133,3096,3290,3265,3202,3093,3007,2982,2986,2917,2898,2846,2871,2884,2873
,Pate,,,g,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,5,6,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3
,Delicatessen type sausages,,,g,6,6,6,8,12,13,17,16,16,16,16,16,17,18,17,17,15,16,10,11,11,11,12,11,9,10,12,11,8,11,11,9,9,10,11,9,13,13,12,13,13,14,14,13
Meat pastes and spreads,,,,g,2445,2618,2575,2562,2602,2552,2517,2480,2547,2595,2533,2502,2472,2408,2368,2352,2317,2245,2227,2297,2235,2172,2137,2149,2006,1973,1943,1927,1998,1952,1921,1894,1864,1849,1836,1810,1783,1751,1778,1791,1756,2578,2508,2266
Takeaway meats,,,,g,1256,1371,1372,1313,1358,1339,1309,1293,1340,1290,1279,1240,1217,1199,1164,1147,1137,1084,1077,1111,1042,1012,972,1002,912,873,864,822,842,810,781,776,761,742,746,724,682,671,675,675,641,1437,1378,1107
